err,prob,
9.59773e-05,1.79762e-05,
0.000303354,3.59525e-05,
0.000511856,5.39287e-05,
0.00112087,7.19049e-05,
0.00113517,8.98812e-05,
0.00139778,0.000107857,
0.00148559,0.000125834,
0.0014948,0.00014381,
0.00166747,0.000161786,
0.00182157,0.000179762,
0.00228529,0.000197739,
0.002718,0.000215715,
0.00274851,0.000233691,
0.00276965,0.000251667,
0.00299337,0.000269644,
0.0030566,0.00028762,
0.00313875,0.000305596,
0.00338061,0.000323572,
0.00340235,0.000341548,
0.00344203,0.000359525,
0.00361253,0.000377501,
0.00369782,0.000395477,
0.00380193,0.000413453,
0.00385299,0.00043143,
0.00398382,0.000449406,
0.00439295,0.000467382,
0.00443513,0.000485358,
0.00460852,0.000503335,
0.00479401,0.000521311,
0.00485601,0.000539287,
0.00516763,0.000557263,
0.00573993,0.00057524,
0.00582038,0.000593216,
0.00616648,0.000611192,
0.00618518,0.000629168,
0.00623075,0.000647144,
0.00636208,0.000665121,
0.00664459,0.000683097,
0.00676478,0.000701073,
0.00678976,0.000719049,
0.00770432,0.000737026,
0.0078795,0.000755002,
0.0079706,0.000772978,
0.00806741,0.000790954,
0.00807904,0.000808931,
0.00858897,0.000826907,
0.00867881,0.000844883,
0.00880244,0.000862859,
0.00881788,0.000880836,
0.00897269,0.000898812,
0.00932012,0.000916788,
0.0100699,0.000934764,
0.0101044,0.00095274,
0.0101744,0.000970717,
0.0102087,0.000988693,
0.0104727,0.00100667,
0.0104822,0.00102465,
0.0106667,0.00104262,
0.0107147,0.0010606,
0.0107501,0.00107857,
0.0109153,0.00109655,
0.0109379,0.00111453,
0.0109866,0.0011325,
0.0116402,0.00115048,
0.0118028,0.00116846,
0.0119707,0.00118643,
0.0120688,0.00120441,
0.0120871,0.00122238,
0.0121578,0.00124036,
0.0121761,0.00125834,
0.0123608,0.00127631,
0.0124022,0.00129429,
0.0125846,0.00131227,
0.0126664,0.00133024,
0.0128577,0.00134822,
0.0130423,0.00136619,
0.0132616,0.00138417,
0.0132821,0.00140215,
0.0133307,0.00142012,
0.0136296,0.0014381,
0.0140992,0.00145608,
0.014171,0.00147405,
0.0142815,0.00149203,
0.0143454,0.00151,
0.0143769,0.00152798,
0.0151679,0.00154596,
0.0160661,0.00156393,
0.0163675,0.00158191,
0.0164714,0.00159988,
0.0167899,0.00161786,
0.0168372,0.00163584,
0.0172167,0.00165381,
0.0173886,0.00167179,
0.0177446,0.00168977,
0.0179195,0.00170774,
0.0180666,0.00172572,
0.0181984,0.00174369,
0.0183043,0.00176167,
0.0186893,0.00177965,
0.018812,0.00179762,
0.0192594,0.0018156,
0.0192803,0.00183358,
0.0193369,0.00185155,
0.0195326,0.00186953,
0.0198714,0.0018875,
0.0198734,0.00190548,
0.0200353,0.00192346,
0.020054,0.00194143,
0.0201199,0.00195941,
0.0201644,0.00197739,
0.0202479,0.00199536,
0.0203157,0.00201334,
0.020806,0.00203131,
0.0209809,0.00204929,
0.021144,0.00206727,
0.0213611,0.00208524,
0.0213633,0.00210322,
0.0214592,0.0021212,
0.0214594,0.00213917,
0.0218018,0.00215715,
0.021821,0.00217512,
0.0219694,0.0021931,
0.0220943,0.00221108,
0.0221741,0.00222905,
0.0222296,0.00224703,
0.0223163,0.00226501,
0.022378,0.00228298,
0.0225018,0.00230096,
0.0228908,0.00231893,
0.0234568,0.00233691,
0.0234852,0.00235489,
0.0237221,0.00237286,
0.0238195,0.00239084,
0.0238891,0.00240882,
0.0242606,0.00242679,
0.0244271,0.00244477,
0.0245181,0.00246274,
0.0245543,0.00248072,
0.0247676,0.0024987,
0.0249223,0.00251667,
0.0250333,0.00253465,
0.0252811,0.00255263,
0.0253348,0.0025706,
0.025704,0.00258858,
0.0261558,0.00260655,
0.0261677,0.00262453,
0.0266865,0.00264251,
0.0269146,0.00266048,
0.0270936,0.00267846,
0.0271685,0.00269644,
0.0273473,0.00271441,
0.0273694,0.00273239,
0.027389,0.00275036,
0.0275302,0.00276834,
0.0276204,0.00278632,
0.0277321,0.00280429,
0.0279014,0.00282227,
0.0280051,0.00284025,
0.0280456,0.00285822,
0.0283528,0.0028762,
0.0283592,0.00289417,
0.028636,0.00291215,
0.0289828,0.00293013,
0.0294263,0.0029481,
0.029501,0.00296608,
0.0297635,0.00298406,
0.0302786,0.00300203,
0.0305821,0.00302001,
0.0307382,0.00303798,
0.0308088,0.00305596,
0.0308353,0.00307394,
0.0308969,0.00309191,
0.0309659,0.00310989,
0.0311204,0.00312786,
0.0311538,0.00314584,
0.031686,0.00316382,
0.0320513,0.00318179,
0.0321083,0.00319977,
0.0322404,0.00321775,
0.0323405,0.00323572,
0.032416,0.0032537,
0.033107,0.00327167,
0.0333726,0.00328965,
0.0334266,0.00330763,
0.0337566,0.0033256,
0.0338757,0.00334358,
0.0339038,0.00336156,
0.0341292,0.00337953,
0.0341501,0.00339751,
0.0344436,0.00341548,
0.0344993,0.00343346,
0.0347882,0.00345144,
0.0349098,0.00346941,
0.0350693,0.00348739,
0.0354513,0.00350537,
0.0358483,0.00352334,
0.0358901,0.00354132,
0.036609,0.00355929,
0.0366912,0.00357727,
0.0368892,0.00359525,
0.0370474,0.00361322,
0.0372621,0.0036312,
0.0372997,0.00364918,
0.037737,0.00366715,
0.0381831,0.00368513,
0.0383316,0.0037031,
0.0383983,0.00372108,
0.0384898,0.00373906,
0.0385743,0.00375703,
0.0387946,0.00377501,
0.0390894,0.00379299,
0.0397378,0.00381096,
0.0399718,0.00382894,
0.0402771,0.00384691,
0.0403211,0.00386489,
0.0408078,0.00388287,
0.0409173,0.00390084,
0.0409445,0.00391882,
0.0410641,0.0039368,
0.041762,0.00395477,
0.0418727,0.00397275,
0.0426176,0.00399072,
0.0427805,0.0040087,
0.0428064,0.00402668,
0.042891,0.00404465,
0.0433157,0.00406263,
0.0434079,0.00408061,
0.0439302,0.00409858,
0.0440092,0.00411656,
0.0441523,0.00413453,
0.0442694,0.00415251,
0.0444783,0.00417049,
0.0448289,0.00418846,
0.0448366,0.00420644,
0.0451632,0.00422442,
0.0452815,0.00424239,
0.0455333,0.00426037,
0.0455872,0.00427834,
0.0456292,0.00429632,
0.0467146,0.0043143,
0.046849,0.00433227,
0.0472103,0.00435025,
0.0472308,0.00436823,
0.0475103,0.0043862,
0.0478497,0.00440418,
0.048199,0.00442215,
0.0490149,0.00444013,
